categoryId,products,cloudinary,base64,local,none
globalcategory_only,487,487,0,0,0
lighting_lamps,192,192,0,0,0
trending_only,132,132,0,0,0
secondhand_refurbished_goods,130,130,0,0,0
printing_supplies,122,122,0,0,0
flashsale_only,116,116,0,0,0
musical_instruments,110,110,0,0,0
electrical_equipment_supplies,103,103,0,0,0
agriculture_food_beverage,102,102,0,0,0
air_conditioners_refrigerators_washing_machines,63,63,0,0,0
featured_only,7,7,0,0,0
cameras_photo,4,4,0,0,0
gifts_crafts,4,4,0,0,0
home_kitchen,4,4,0,0,0
vehicles_transportation,4,4,0,0,0
laptops_pcs,4,4,0,0,0
makeup_skincare_fragrance,4,4,0,0,0
bicycles_scooters_electric_vehicles,4,4,0,0,0
baby_products_baby_essentials,3,3,0,0,0
books_media_music,3,3,0,0,0
food_grocery,3,3,0,0,0
luggage_bags_cases,3,3,0,0,0
safety_security,3,3,0,0,0
sports_outdoors_fitness,3,3,0,0,0
furniture_sofas_beds_etc,3,3,0,0,0
appliances_home_appliances_large_small,2,2,0,0,0
automotive_vehicle_parts_accessories,2,2,0,0,0
clothing_fashion_apparel_men_women_kids,2,2,0,0,0
construction_building_materials,2,2,0,0,0
electronics_tv_audio_gaming,2,2,0,0,0
gardening_outdoor_living,2,2,0,0,0
health_medical_supplies,2,2,0,0,0
health_wellness,2,2,0,0,0
industrial_machinery_equipment,2,2,0,0,0
jewelry_eyewear_watches,2,2,0,0,0
office_school_supplies,2,2,0,0,0
renewable_energy,2,2,0,0,0
shoes_accessories,2,2,0,0,0
smart_home_surveillance,2,2,0,0,0
toys_games_hobbies,2,2,0,0,0
video_games_consoles,2,2,0,0,0
power_tools_hand_tools,2,2,0,0,0
business_industrial_machinery,1,1,0,0,0
consumer_electronics,1,1,0,0,0
furniture_home_decor,1,1,0,0,0
home_improvement_tools_hardware,1,1,0,0,0
drones_action_cameras,1,1,0,0,0
mobile_phones_accessories,1,1,0,0,0
computers_tablets_networking,1,1,0,0,0
pet_supplies,1,1,0,0,0
headphones_speakers_audio,1,1,0,0,0
