folder,normalized_slug,png_count
"Home Improvement, Tools & Hardware",home_improvement_tools_hardware,216
"Home & Kitchen",home_kitchen,213
"Vehicles & Transportation",vehicles_transportation,213
"Sports & Outdoors, Fitness",sports_outdoors_fitness,210
"Power Tools & Hand Tools",power_tools_hand_tools,208
"Construction & Building Materials",construction_building_materials,205
"Furniture & Home Decor",furniture_home_decor,200
"Gardening & Outdoor Living",gardening_outdoor_living,199
"Office & School Supplies",office_school_supplies,196
"Pet Supplies",pet_supplies,196
"Consumer Electronics",consumer_electronics,190
"Electrical Equipment & Supplies",electrical_equipment_supplies,190
"Laptops & PCs",laptops_pcs,189
"Makeup, Skincare & Fragrance",makeup_skincare_fragrance,189
"Computers, Tablets & Networking",computers_tablets_networking,186
"Safety & Security",safety_security,186
"Industrial Machinery & Equipment",industrial_machinery_equipment,180
"Gifts & Crafts",gifts_crafts,179
"Beauty & Personal Care",beauty_personal_care,175
"Health & Medical Supplies",health_medical_supplies,175
"Toys, Games & Hobbies",toys_games_hobbies,174
"Electronics (TV, Audio, Gaming, etc.)",electronics_tv_audio_gaming,173
"Furniture (Sofas, Beds, etc.)",furniture_sofas_beds,167
"Lighting & Lamps",lighting_lamps,167
"Jewelry, Eyewear & Watches",jewelry_eyewear_watches,165
"Business & Industrial, Machinery",business_industrial_machinery,164
"Mobile Phones & Accessories",mobile_phones_accessories,164
"Clothing, Fashion & Apparel (Men, Women, Kids)",clothing_fashion_apparel_men_women_kids,163
"Video Games & Consoles",video_games_consoles,162
"Health & Wellness",health_wellness,160
"Renewable Energy",renewable_energy,158
"Automotive, Vehicle Parts & Accessories",automotive_vehicle_parts_accessories,153
"Drones & Action Cameras",drones_action_cameras,152
"Shoes & Accessories",shoes_accessories,152
"Bicycles, Scooters & Electric Vehicles",bicycles_scooters_electric_vehicles,146
"Headphones, Speakers & Audio",headphones_speakers_audio,145
"Baby Products, Baby Essentials",baby_products_baby_essentials,141
"Food & Grocery",food_grocery,134
"Smart Home & Surveillance",smart_home_surveillance,132
"Cameras & Photo",cameras_photo,128
"Art, Collectibles & Crafts",art_collectibles_crafts,125
"Books, Media & Music",books_media_music,116
"Appliances (Home Appliances, Large & Small)",appliances_home_appliances_large_small,109
"Agriculture, Food & Beverage",agriculture_food_beverage,97
"Air Conditioners, Refrigerators, Washing Machines",air_conditioners_refrigerators_washing_machines,62
"Islamic & Religious Products",islamic_religious_products,2
"Luggage, Bags & Cases",luggage_bags_cases,2
"Musical Instruments",musical_instruments,2
"Printing Supplies",printing_supplies,2
"Seasonal & Festival Products",seasonal_festival_products,2
"Second-Hand & Refurbished Goods",second_hand_refurbished_goods,2
"Wedding & Event Supplies",wedding_event_supplies,2
