folder,keep_file,delete_count,total_png
"Agriculture, Food & Beverage","agriculture_food_beverage.png",96,97
"Air Conditioners, Refrigerators, Washing Machines","air_conditioner_compressor.png",61,62
"Appliances (Home Appliances, Large & Small)","air_circulator.png",108,109
"Art, Collectibles & Crafts","abstract_art.png",124,125
"Automotive, Vehicle Parts & Accessories","abs_sensor.png",152,153
"Baby Products, Baby Essentials","activity_gym.png",140,141
"Beauty & Personal Care","acne_treatment_gel.png",174,175
"Bicycles, Scooters & Electric Vehicles","adult_scooter.png",145,146
"Books, Media & Music","academic_books.png",115,116
"Business & Industrial, Machinery","air_compressor.png",163,164
"Cameras & Photo","360_camera.png",127,128
"Clothing, Fashion & Apparel (Men, Women, Kids)","abayas.png",162,163
"Computers, Tablets & Networking","2_in_1_laptop.png",185,186
"Construction & Building Materials","aac_blocks.png",204,205
"Consumer Electronics","aa_batteries.png",189,190
"Drones & Action Cameras","2_axis_gimbal.png",151,152
"Electrical Equipment & Supplies","ac_adapter.png",189,190
"Electronics (TV, Audio, Gaming, etc.)","4k_tv.png",172,173
"Food & Grocery","beverages.png",133,134
"Furniture & Home Decor","area_rug.png",199,200
"Furniture (Sofas, Beds, etc.)","accent_chair.png",166,167
"Gardening & Outdoor Living","above_ground_pool.png",198,199
"Gifts & Crafts","acrylic_paint.png",178,179
"Headphones, Speakers & Audio","3_5mm_audio_cable.png",144,145
"Health & Medical Supplies","acupressure_mat.png",174,175
"Health & Wellness","ab_roller.png",159,160
"Home & Kitchen","air_fryer.png",212,213
"Home Improvement, Tools & Hardware","acrylic_sealant.png",215,216
"Industrial Machinery & Equipment","abrasive_wheels.png",179,180
"Islamic & Religious Products","quran.png",1,2
"Jewelry, Eyewear & Watches","adjustable_ring.png",164,165
"Laptops & PCs","2_in_1_convertible_laptop.png",188,189
"Lighting & Lamps","aquarium_led_light.png",166,167
"Luggage, Bags & Cases","luggage_bags_cases.png",1,2
"Makeup, Skincare & Fragrance","acne_treatment_gel.png",188,189
"Mobile Phones & Accessories","android_smartphone.png",163,164
"Musical Instruments","acoustic_guitar.png",1,2
"Office & School Supplies","a3_paper.png",195,196
"Pet Supplies","agility_tunnel.png",195,196
"Power Tools & Hand Tools","adjustable_wrench.png",207,208
"Printing Supplies","black_ink_cartridge.png",1,2
"Renewable Energy","ac_circuit_breaker.png",157,158
"Safety & Security","access_control.png",185,186
"Seasonal & Festival Products","eid_gift_box.png",1,2
"Second-Hand & Refurbished Goods","refurbished_smartphone.png",1,2
"Shoes & Accessories","ankle_boots.png",151,152
"Smart Home & Surveillance","360_security_camera.png",131,132
"Sports & Outdoors, Fitness","ab_roller.png",209,210
"Toys, Games & Hobbies","acrylic_paint.png",173,174
"Vehicles & Transportation","abs_sensor.png",212,213
"Video Games & Consoles","action_figures.png",161,162
"Wedding & Event Supplies","wedding_backdrop.png",1,2
